p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,5.0,15.0,0.89,233799,0.8376796240458534,0.03756875902157375,0.005914511810377619,134077
0.5,1.4,5.0,15.0,0.9,233799,0.8225626816613696,0.033967922286115344,0.005580962124277567,130981
0.5,1.4,5.0,15.0,0.91,233799,0.7997174911036862,0.029327882094990026,0.005320368394007668,126495
0.5,1.4,5.0,15.0,0.92,233799,0.7637926819330128,0.02304491717554268,0.005021520803443328,119884
0.5,1.4,5.0,15.0,0.93,233799,0.7078885176432239,0.015694050991501417,0.004577365653409865,110107
0.5,1.4,5.0,15.0,0.9400000000000001,233799,0.6210102409474914,0.007962768092515648,0.003861246272170774,95565
0.5,1.4,5.0,15.0,0.9500000000000001,233799,0.31219270366446633,0.0018455792947715823,0.0010395230922629782,47137
0.5,1.4,5.0,15.0,0.9600000000000001,233799,0.0,,,0
0.5,1.4,5.0,15.0,0.97,233799,0.0,,,0
0.5,1.4,5.0,15.0,0.98,233799,0.0,,,0
0.5,1.4,5.0,15.0,0.99,233799,0.0,,,0
0.5,1.4,15.0,25.0,0.01,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.02,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.03,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.04,418763,1.0,0.3648388229141543,0.0237507836862975,491268
0.5,1.4,15.0,25.0,0.05,418763,0.9998872104127347,0.3550646264277227,0.023976271417336974,484479
0.5,1.4,15.0,25.0,0.060000000000000005,418763,0.9975900624854314,0.2909794888786755,0.0248851814740337,436123
0.5,1.4,15.0,25.0,0.06999999999999999,418763,0.9942402117436518,0.25496548809691505,0.025326195138780302,402903
0.5,1.4,15.0,25.0,0.08,418763,0.9898978126339376,0.22429108050379318,0.023034501666033994,379344
0.5,1.4,15.0,25.0,0.09,418763,0.9857697137400275,0.1986472815738723,0.021380170545751913,363187
0.5,1.4,15.0,25.0,0.09999999999999999,418763,0.9826567211315052,0.18255003330862551,0.02001622784573934,353713
0.5,1.4,15.0,25.0,0.11,418763,0.9800625606244031,0.1706493762666353,0.019076727891352615,346810
0.5,1.4,15.0,25.0,0.12,418763,0.9781526569467107,0.1622385728775901,0.018623841675414716,341981
0.5,1.4,15.0,25.0,0.13,418763,0.9763104270213774,0.15556661171107014,0.0181550060260051,337703
0.5,1.4,15.0,25.0,0.14,418763,0.9747238534938455,0.1499760657307165,0.017733901727619475,334275
0.5,1.4,15.0,25.0,0.15000000000000002,418763,0.9733327819175733,0.14558367794165697,0.01742128745576803,331491
0.5,1.4,15.0,25.0,0.16,418763,0.9722725597972796,0.1415278796710939,0.017054809918158786,329174
0.5,1.4,15.0,25.0,0.17,418763,0.971178500800806,0.13809050323321165,0.016717264825566288,327087
0.5,1.4,15.0,25.0,0.18000000000000002,418763,0.9701821927799625,0.13502941324350143,0.016387090822429617,325195
0.5,1.4,15.0,25.0,0.19,418763,0.9691783654533014,0.13246978768084483,0.016033525768607913,323572
0.5,1.4,15.0,25.0,0.2,418763,0.9682610101435436,0.13002648362339206,0.015737397508219522,322099
0.5,1.4,15.0,25.0,0.21000000000000002,418763,0.967456444421051,0.12792723181303672,0.015493752318140874,320839
0.5,1.4,15.0,25.0,0.22,418763,0.9667007541863735,0.12601080228554337,0.015186546734454439,319625
0.5,1.4,15.0,25.0,0.23,418763,0.9658773901993368,0.12409052785183872,0.014915060473676441,318403
0.5,1.4,15.0,25.0,0.24000000000000002,418763,0.9651104210059327,0.12236832208523936,0.01458128451471367,317256
0.5,1.4,15.0,25.0,0.25,418763,0.9643509711183463,0.12077139027809675,0.014283364230533183,316102
0.5,1.4,15.0,25.0,0.26,418763,0.9635840019249423,0.11923654520899128,0.01394189553897444,314950
0.5,1.4,15.0,25.0,0.27,418763,0.962726801061726,0.11772792579857151,0.013642112775223732,313881
0.5,1.4,15.0,25.0,0.28,418763,0.9606815498793151,0.11474342096146117,0.013345438330280351,311717
0.5,1.4,15.0,25.0,0.29000000000000004,418763,0.9589859464174267,0.11251174280644376,0.013013700839728887,309981
0.5,1.4,15.0,25.0,0.3,418763,0.9574369694189833,0.11071806458146365,0.012671769087885478,308481
0.5,1.4,15.0,25.0,0.31,418763,0.9560759750659819,0.10902332034644169,0.012353557915849933,307118
0.5,1.4,15.0,25.0,0.32,418763,0.9552450917731276,0.10775940779031057,0.012133719069791741,306254
0.5,1.4,15.0,25.0,0.33,418763,0.954440526050635,0.10652795179705207,0.011876694565601791,305388
0.5,1.4,15.0,25.0,0.34,418763,0.9536998744275929,0.10544560740280991,0.011640274166863626,304632
0.5,1.4,15.0,25.0,0.35000000000000003,418763,0.9529705017632772,0.10434201878431955,0.011429079157808828,303874
0.5,1.4,15.0,25.0,0.36000000000000004,418763,0.9522824852809588,0.10326808492559982,0.011225725152815667,303143
0.5,1.4,15.0,25.0,0.37,418763,0.9515192757404637,0.1021112644526358,0.011012669530622167,302379
0.5,1.4,15.0,25.0,0.38,418763,0.9506883924476093,0.10105193554006349,0.010834214635472439,301637
0.5,1.4,15.0,25.0,0.39,418763,0.9499477408245671,0.10010470980425677,0.010646039135158844,300957
0.5,1.4,15.0,25.0,0.4,418763,0.9491958102427984,0.09914542113432409,0.010496624895516622,300287
0.5,1.4,15.0,25.0,0.41000000000000003,418763,0.9484664375784827,0.09827393313769574,0.010342410893071686,299640
0.5,1.4,15.0,25.0,0.42000000000000004,418763,0.9476769104676256,0.09732741733902013,0.01018490025821816,298972
0.5,1.4,15.0,25.0,0.43,418763,0.946898662315495,0.09639574349002246,0.010020315527633812,298294
0.5,1.4,15.0,25.0,0.44,418763,0.9461617703453618,0.09547308832779225,0.009897430901082804,297653
0.5,1.4,15.0,25.0,0.45,418763,0.9453985608048665,0.09457882949381764,0.009760022624129712,297028
0.5,1.4,15.0,25.0,0.46,418763,0.9446127933469182,0.09356893926821701,0.009603865842835402,296339
0.5,1.4,15.0,25.0,0.47000000000000003,418763,0.9436916783842516,0.09262291822562511,0.00950071365275213,295662
