p_low,p_high,theta_low,theta_high,best_threshold,C_base,C_plus,C_minus,delta_c_plus,delta_c_minus,delta_c_total,n_events,relative_drift
3.2,3.65,23.0,29.0,0.4318181818181817,0.2332662571489091,0.2198947076752563,0.2449632073077899,0.0133715494736528,0.0116969501588807,0.0250684996325336,27099,0.10746732055862986
3.65,4.1,23.0,29.0,0.3646464646464646,0.3620784964068546,0.347495614889885,0.377177700348432,0.0145828815169696,0.0150992039415774,0.029682085458547,7866,0.08197693525879622
4.1,4.55,23.0,29.0,0.3454545454545454,0.5597691673536686,0.5509300265721878,0.5681995323460639,0.0088391407814807,0.0084303649923953,0.017269505773876,1701,0.030851120034921336
4.55,5.0,23.0,29.0,0.4414141414141413,0.647887323943662,0.6432160804020101,0.6577777777777778,0.0046712435416519,0.0098904538341157,0.0145616973757677,312,0.02247566334085884
0.5,0.95,29.0,35.0,0.7964646464646464,0.0564929926224695,0.0521592673491407,0.0590485779008306,0.0043337252733287,0.002555585278361,0.0068893105516898,54446,0.12194982478144818
0.95,1.4,29.0,35.0,0.5469696969696969,0.0612389042664885,0.0590616446277805,0.0629544077552256,0.0021772596387079,0.0017155034887371,0.0038927631274451,65874,0.06356683180524052
1.4,1.85,29.0,35.0,0.4510101010101009,0.0740719782707107,0.0694684653522425,0.0791770920211287,0.0046035129184681,0.0051051137504179,0.0097086266688861,45867,0.1310701684435105
1.85,2.3,29.0,35.0,0.4702020202020202,0.0900402811784219,0.078903005632992,0.1003399411787173,0.0111372755454298,0.0102996600002954,0.0214369355457253,34312,0.2380816148635334
2.3,2.75,29.0,35.0,0.4414141414141413,0.1144025030278562,0.103311188994089,0.1279577191621412,0.0110913140337672,0.0135552161342849,0.0246465301680521,27008,0.2154369835951128
2.75,3.2,29.0,35.0,0.5085858585858586,0.1998421468034727,0.1841275112070396,0.2171428571428571,0.015714635596433,0.0173007103393843,0.0330153459358174,10118,0.16520712204060292
3.2,3.65,29.0,35.0,0.5373737373737373,0.3872,0.3571428571428571,0.4255014326647564,0.0300571428571428,0.0383014326647564,0.0683585755218992,1262,0.17654590785614463
3.65,4.1,29.0,35.0,0.3742424242424242,0.5342465753424658,0.5211267605633803,0.5405405405405406,0.0131198147790855,0.0062939651980747,0.0194137799771603,102,0.03633861380340261
4.1,4.55,29.0,35.0,0.4893939393939394,0.3,0.1923076923076923,0.3125,0.1076923076923076,0.0125,0.1201923076923076,47,0.40064102564102533
4.55,5.0,29.0,35.0,0.3742424242424242,0.4,0.4,0.5714285714285714,0.0,0.1714285714285713,0.1714285714285713,11,0.4285714285714282
