p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,5.0,15.0,0.45,233799,0.9447885257925189,0.10032010864293336,0.009731696225557071,164925
0.5,1.4,5.0,15.0,0.46,233799,0.9440550892347812,0.09928273842306122,0.00962187197986883,164521
0.5,1.4,5.0,15.0,0.47000000000000003,233799,0.9431247113791323,0.09835352472959111,0.00948416157207902,164063
0.5,1.4,5.0,15.0,0.48000000000000004,233799,0.9423165729497732,0.09747372255177437,0.009335060238019598,163684
0.5,1.4,5.0,15.0,0.49,233799,0.9413454486186945,0.09636433567801196,0.009221418198974308,163207
0.5,1.4,5.0,15.0,0.5,233799,0.9405237280308587,0.09545487201928038,0.009108833049769977,162809
0.5,1.4,5.0,15.0,0.51,233799,0.939661260967593,0.09461678891818855,0.009012225601122834,162446
0.5,1.4,5.0,15.0,0.52,233799,0.9388938690136637,0.09376700161904575,0.008963326239165972,162105
0.5,1.4,5.0,15.0,0.53,233799,0.9380721484258279,0.09290123456790124,0.008890152826549286,161752
0.5,1.4,5.0,15.0,0.54,233799,0.9371281884117024,0.09219251618335877,0.008803285899254725,161417
0.5,1.4,5.0,15.0,0.55,233799,0.9362589302691984,0.09133091225456919,0.008723240451000844,161064
0.5,1.4,5.0,15.0,0.56,233799,0.935511911552984,0.09049134436360275,0.00868477861902066,160741
0.5,1.4,5.0,15.0,0.5700000000000001,233799,0.9346766088066716,0.08968669184419914,0.008639551192145862,160425
0.5,1.4,5.0,15.0,0.5800000000000001,233799,0.9338073506641675,0.08886400381669272,0.008590689566841813,160057
0.5,1.4,5.0,15.0,0.59,233799,0.9329720479178552,0.08803536815273094,0.008515007701073142,159718
0.5,1.4,5.0,15.0,0.6,233799,0.9320416700622063,0.0873089762857941,0.008476330896884902,159385
0.5,1.4,5.0,15.0,0.61,233799,0.9313557710591367,0.08641925964414424,0.008392795398107692,159065
0.5,1.4,5.0,15.0,0.62,233799,0.9303506913318664,0.08561435827609913,0.008355492822845909,158698
0.5,1.4,5.0,15.0,0.63,233799,0.9293727759215494,0.08474281548658066,0.008330228181307195,158339
0.5,1.4,5.0,15.0,0.64,233799,0.9283812783527559,0.0838443340906197,0.008279529054310673,157980
0.5,1.4,5.0,15.0,0.65,233799,0.9270773911389998,0.08297394972659976,0.008251191662488179,157553
