variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
pcal_energy,1,2,25,35,2443,2860,0.835328,0.773266,5336,7162,2443,2860,0.457834,0.39933,-0.0585038,0.244304,1.65409e-69,449.714,49,9.17784,3.65529e-66,0.505374,1.38889,True,0.0371466,1.15755,0.413553,1.9185,DROP,ok
pcal_energy,2,3,5,15,10340,10972,0.835328,0.773266,10927,12503,10340,10972,0.94628,0.877549,-0.0687305,0.155691,3.77615e-113,788.787,49,16.0977,4.44323e-134,0.406783,0.946298,True,0.0373906,0.712224,0.194749,0.763294,CANDIDATE,ok
pcal_energy,2,3,15,25,8907,12042,0.835328,0.773266,9727,13713,8907,12042,0.915699,0.878145,-0.0375537,0.186152,8.68011e-156,990.893,49,20.2223,1.21175e-175,0.403682,0.924189,True,0.0405517,0.683106,0.262155,1.76787,DROP,ok
pcal_energy,2,3,25,35,922,1531,0.835328,0.773266,1166,2124,922,1531,0.790738,0.72081,-0.0699278,0.202884,3.26785e-21,161.072,49,3.28718,7.26066e-14,0.460318,1.69028,True,0.038531,0.665059,0.31376,1.92507,DROP,ok
pcal_energy,3,5,5,15,15329,13325,0.835328,0.773266,15732,14867,15329,13325,0.974383,0.89628,-0.0781031,0.0764888,1.02398e-36,364.922,49,7.44738,7.16003e-50,0.263047,0.80425,True,0.0199726,0.212621,0.0730279,0.552089,CANDIDATE,ok
pcal_energy,3,5,15,25,4904,6551,0.835328,0.773266,5114,7182,4904,6551,0.958936,0.912141,-0.0467948,0.124284,3.40059e-38,298.497,49,6.09178,1.74772e-37,0.304544,0.798318,True,0.0258738,0.295462,0.138557,1.09208,DROP,ok
pcal_energy,3,5,25,35,57,128,0.835328,0.773266,59,139,57,128,0.966102,0.920863,-0.0452384,0.179825,0.135518,42.9469,37,1.16073,0.23147,0.588063,1,True,0.0198604,0.193442,1.46156,78125,DROP,ok
pcal_time,1,2,5,15,8617,8393,0.835328,0.773266,9585,9952,8617,8393,0.899009,0.843348,-0.0556608,0.121125,8.71164e-55,340.322,10,34.0322,4.50337e-67,2.56994,6.97317,True,6.2044,3.46266,0.148484,0.945122,DROP,ok
pcal_time,1,2,15,25,12251,13350,0.835328,0.773266,13926,15954,12251,13350,0.879721,0.836781,-0.0429406,0.139434,8.30932e-109,50.5642,11,4.59674,4.95442e-07,1.00564,3.44901,True,6.08157,3.55141,0.164794,1.20633,DROP,ok
pcal_time,1,2,25,35,2443,2860,0.835328,0.773266,5336,7162,2443,2860,0.457834,0.39933,-0.0585038,0.133032,8.71779e-21,313.577,49,6.39954,2.9311e-40,1.89424,24.686,True,4.9706,3.26804,0.154252,1.20475,DROP,ok
