variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
beta,1,2,5,15,9585,9952,1,1,9585,9952,9585,9952,1,1,0,0.110174,4.75059e-52,446.593,49,9.11413,1.47939e-65,0.37387,0.794206,True,0.00586577,0.228041,0.0836233,0.586934,CANDIDATE,ok
beta,1,2,15,25,13926,15954,1,1,13926,15954,13926,15954,1,1,0,0.105727,7.82223e-73,595.478,49,12.1526,5.80667e-95,0.362157,0.927591,True,0.00593804,0.209557,0.0709303,0.525685,CANDIDATE,ok
beta,1,2,25,35,5336,7162,1,1,5336,7162,5336,7162,1,1,0,0.0942866,4.17513e-24,184.706,49,3.76952,1.27275e-17,0.265708,0.874589,True,0.00479561,0.145288,0.051234,0.42078,CANDIDATE,ok
beta,2,3,5,15,10927,12503,1,1,10927,12503,10927,12503,1,1,0,0.0586219,7.3494e-18,347.568,49,7.09322,1.34624e-46,0.257401,0.714182,True,0.00107455,0.120314,0.070394,0.535036,CANDIDATE,ok
beta,2,3,15,25,9727,13713,1,1,9727,13713,9727,13713,1,1,0,0.0594039,6.71944e-18,322.211,49,6.57573,7.37006e-42,0.259314,0.66512,True,0.00103729,0.107173,0.0531543,0.400144,CANDIDATE,ok
beta,2,3,25,35,1166,2124,1,1,1166,2124,1166,2124,1,1,0,0.0457105,0.0827811,60.8176,49,1.24118,0.119891,0.306051,1.16738,False,0.00098592,0.0908063,0.0569377,0.495719,CANDIDATE,ok
beta,3,5,5,15,15732,14867,1,1,15732,14867,15732,14867,1,1,0,0.0343625,2.81481e-08,207.811,49,4.24105,1.88307e-21,0.202476,0.791808,False,0.000258786,0.0511885,0.0232128,0.302196,CANDIDATE,ok
beta,3,5,15,25,5114,7182,1,1,5114,7182,5114,7182,1,1,0,0.0366656,0.000629291,120.588,49,2.46097,5.73337e-08,0.209277,1.20426,False,0.000210404,0.0379442,0.0272051,0.47752,CANDIDATE,ok
beta,3,5,25,35,59,139,1,1,59,139,59,139,1,1,0,0.20278,0.0556628,49.6354,45,1.10301,0.293723,0.641893,2.05926,True,0.00133411,0.215369,0.467041,2.82014,DROP,ok
chi2pid,1,2,5,15,9457,9189,0.990641,0.970646,9585,9952,9457,9189,0.986646,0.923332,-0.0633138,0.138511,2.15903e-78,1063.26,49,21.6992,1.22113e-190,0.552562,0.92432,True,1.23383,0.757128,0.231121,0.750256,CANDIDATE,ok
chi2pid,1,2,15,25,13703,15157,0.990641,0.970646,13926,15954,13703,15157,0.983987,0.950044,-0.0339429,0.12883,1.34285e-104,1492.62,49,30.4617,2.03214e-280,0.540625,0.890695,True,1.1921,0.715983,0.22211,0.706115,CANDIDATE,ok
chi2pid,1,2,25,35,5281,7068,0.990641,0.970646,5336,7162,5281,7068,0.989693,0.986875,-0.00281748,0.0590703,1.29815e-09,203.001,49,4.14288,1.21148e-20,0.353332,1.12793,True,0.4731,0.257366,0.0518299,0.512541,CANDIDATE,ok
chi2pid,2,3,5,15,10825,12233,0.990641,0.970646,10927,12503,10825,12233,0.990665,0.978405,-0.0122601,0.081574,1.08546e-33,586.47,49,11.9688,3.67338e-93,0.330866,0.679308,True,0.315897,0.215281,0.103022,0.555987,CANDIDATE,ok
chi2pid,2,3,15,25,9619,13148,0.990641,0.970646,9727,13713,9619,13148,0.988897,0.958798,-0.0300987,0.0604115,4.57901e-18,441.176,49,9.0036,1.66831e-64,0.298485,0.721468,True,0.26808,0.170381,0.0721231,0.48855,CANDIDATE,ok
chi2pid,2,3,25,35,1151,2092,0.990641,0.970646,1166,2124,1151,2092,0.987136,0.984934,-0.00220142,0.0591185,0.0105833,69.0791,49,1.40978,0.030853,0.31106,0.818506,True,0.191798,0.106732,0.0743409,0.735218,CANDIDATE,ok
chi2pid,3,5,5,15,15665,14817,0.990641,0.970646,15732,14867,15665,14817,0.995741,0.996637,0.000895682,0.0420032,4.12313e-12,193.365,49,3.94623,4.84994e-19,0.174239,0.578236,False,0.0822004,0.0668186,0.0216671,0.32076,CANDIDATE,ok
chi2pid,3,5,15,25,5094,7076,0.990641,0.970646,5114,7182,5094,7076,0.996089,0.985241,-0.0108483,0.0214242,0.129448,74.6131,49,1.52272,0.010642,0.195559,1.68278,False,0.0479487,0.0372288,0.0129067,0.254958,KEEP,ok
chi2pid,3,5,25,35,58,139,0.990641,0.970646,59,139,58,139,0.983051,1,0.0169492,0.175019,0.140327,50.0741,42,1.19224,0.183577,0.553386,1.14815,True,0.301865,0.195561,0.463856,2.7554,DROP,ok
ftof_energy_1A,1,2,5,15,8829,8478,0.847839,0.798598,9585,9952,8829,8478,0.921127,0.851889,-0.0692377,0.0928671,6.61789e-33,273.772,49,5.58717,5.44961e-33,0.343077,0.813645,True,3.29451,0.972484,0.0626698,0.413507,CANDIDATE,ok
ftof_energy_1A,1,2,15,25,12324,13296,0.847839,0.798598,13926,15954,12324,13296,0.884963,0.833396,-0.0515674,0.0558281,9.08268e-18,300.073,49,6.12393,8.9882e-38,0.262464,0.657467,True,1.58445,0.410132,0.0466515,0.501229,CANDIDATE,ok
ftof_energy_1A,1,2,25,35,3370,3936,0.847839,0.798598,5336,7162,3370,3936,0.631559,0.549567,-0.0819921,0.132975,1.93465e-28,217.612,49,4.44107,4.08693e-23,0.433061,3.20288,True,1.39827,0.34288,0.116432,0.755208,CANDIDATE,ok
ftof_energy_1A,2,3,5,15,9981,11042,0.847839,0.798598,10927,12503,9981,11042,0.913425,0.883148,-0.0302774,0.0497946,9.80266e-12,265.891,49,5.42634,1.41973e-31,0.303331,1.68984,False,1.17367,0.301362,0.0547323,0.46155,CANDIDATE,ok
ftof_energy_1A,2,3,15,25,9006,12048,0.847839,0.798598,9727,13713,9006,12048,0.925876,0.878582,-0.0472941,0.0818061,1.88236e-30,354.337,49,7.23137,7.1573e-48,0.318253,1.21625,True,1.05227,0.256625,0.0882584,0.616238,CANDIDATE,ok
ftof_energy_1A,2,3,25,35,956,1559,0.847839,0.798598,1166,2124,956,1559,0.819897,0.733992,-0.0859046,0.0932801,6.0654e-05,80.735,47,1.71777,0.00160131,0.410191,1.12329,True,1.51193,0.30548,0.0945052,1.24845,DROP,ok
ftof_energy_1A,3,5,5,15,14542,13472,0.847839,0.798598,15732,14867,14542,13472,0.924358,0.906168,-0.01819,0.0684516,6.19016e-29,225.025,49,4.59235,2.18689e-24,0.272942,1.1462,True,0.596746,0.135963,0.0421731,0.35037,CANDIDATE,ok
ftof_energy_1A,3,5,15,25,4847,6564,0.847839,0.798598,5114,7182,4847,6564,0.94779,0.913952,-0.0338388,0.0912588,1.17868e-20,118.735,49,2.42316,1.01554e-07,0.649172,4.87651,True,1.37886,0.297143,0.0592306,0.457614,CANDIDATE,ok
ftof_energy_1A,3,5,25,35,52,117,0.847839,0.798598,59,139,52,117,0.881356,0.841727,-0.0396293,0.168803,0.229424,33.5271,28,1.1974,0.216878,0.736331,1.32632,True,1.8924,0.617897,1.30383,68376.1,DROP,ok
ftof_energy_1B,1,2,5,15,9053,8951,0.906102,0.892377,9585,9952,9053,8951,0.944497,0.899417,-0.0450794,0.068774,5.86135e-19,180.219,49,3.67794,6.78788e-17,0.277109,0.988471,True,1.7964,0.578459,0.0403403,0.411649,CANDIDATE,ok
ftof_energy_1B,1,2,15,25,13027,14636,0.906102,0.892377,13926,15954,13027,14636,0.935444,0.917387,-0.018057,0.112836,6.85717e-77,416.188,49,8.49364,1.13852e-59,0.292228,0.925038,True,1.05785,0.312952,0.0773469,0.490903,CANDIDATE,ok
ftof_energy_1B,1,2,25,35,4352,5993,0.906102,0.892377,5336,7162,4352,5993,0.815592,0.836777,0.0211852,0.136576,1.89412e-41,306.527,49,6.25566,5.85632e-39,0.656305,4.02287,True,1.54832,0.405036,0.113779,0.868037,DROP,ok
ftof_energy_1B,2,3,5,15,10407,11818,0.906102,0.892377,10927,12503,10407,11818,0.952411,0.945213,-0.00719831,0.111387,2.93431e-60,498.811,49,10.1798,9.00175e-76,0.375415,0.943459,True,3.98661,1.11096,0.110725,0.554924,CANDIDATE,ok
ftof_energy_1B,2,3,15,25,9173,12671,0.906102,0.892377,9727,13713,9173,12671,0.943045,0.924014,-0.0190314,0.128151,1.21838e-76,405.494,49,8.27539,1.30114e-57,0.320489,1.3928,True,2.16772,0.585658,0.135339,0.574898,CANDIDATE,ok
ftof_energy_1B,2,3,25,35,1080,1986,0.906102,0.892377,1166,2124,1080,1986,0.926244,0.935028,0.00878468,0.106501,2.28384e-07,100.96,48,2.10334,1.226e-05,0.653115,4.9892,True,1.88521,0.46872,0.0886929,0.485521,CANDIDATE,ok
ftof_energy_1B,3,5,5,15,15327,14575,0.906102,0.892377,15732,14867,15327,14575,0.974256,0.980359,0.00610289,0.122161,1.27246e-97,716.291,49,14.6182,2.56364e-119,0.349022,1.02349,True,3.64914,1.04657,0.11916,0.537014,CANDIDATE,ok
ftof_energy_1B,3,5,15,25,4894,6862,0.906102,0.892377,5114,7182,4894,6862,0.956981,0.955444,-0.00153667,0.154015,1.42829e-59,238.388,49,4.86506,1.04873e-26,0.443054,3.6032,True,2.01272,0.608715,0.150735,0.603722,CANDIDATE,ok
ftof_energy_1B,3,5,25,35,57,135,0.906102,0.892377,59,139,57,135,0.966102,0.971223,0.00512133,0.308382,0.000699675,53.2274,23,2.31423,0.000341327,0.914784,2.81818,True,3.57422,0.731223,2.18817,74074.1,DROP,ok
ftof_time_1A,1,2,5,15,8829,8478,0.847839,0.798598,9585,9952,8829,8478,0.921127,0.851889,-0.0692377,0.139133,1.96201e-73,819.665,49,16.7279,2.15553e-140,0.559952,1,True,0.745716,0.827776,0.225525,0.821031,DROP,ok
ftof_time_1A,1,2,15,25,12324,13296,0.847839,0.798598,13926,15954,12324,13296,0.884963,0.833396,-0.0515674,0.12444,8.72708e-87,992.509,49,20.2553,5.61357e-176,0.575926,1,True,0.576128,0.593113,0.194582,0.815142,DROP,ok
ftof_time_1A,1,2,25,35,3370,3936,0.847839,0.798598,5336,7162,3370,3936,0.631559,0.549567,-0.0819921,0.0703198,2.95667e-08,117.751,49,2.40308,1.37278e-07,0.383123,1.11093,True,0.727122,0.654724,0.0691986,0.607718,CANDIDATE,ok
ftof_time_1A,2,3,5,15,9981,11042,0.847839,0.798598,10927,12503,9981,11042,0.913425,0.883148,-0.0302774,0.154043,4.3708e-109,1312.4,49,26.7837,1.35358e-242,0.749695,1,True,0.579581,1.46643,0.47165,0.973466,DROP,ok
ftof_time_1A,2,3,15,25,9006,12048,0.847839,0.798598,9727,13713,9006,12048,0.925876,0.878582,-0.0472941,0.139219,1.31771e-87,1023.09,49,20.8793,2.61945e-182,0.694069,1,True,0.672383,1.53144,0.375429,0.953233,DROP,ok
ftof_time_1A,2,3,25,35,956,1559,0.847839,0.798598,1166,2124,956,1559,0.819897,0.733992,-0.0859046,0.117262,1.46535e-07,87.8692,43,2.04347,6.47608e-05,0.567224,1,True,0.561646,1.05531,0.280175,0.897798,DROP,ok
ftof_time_1A,3,5,5,15,14542,13472,0.847839,0.798598,15732,14867,14542,13472,0.924358,0.906168,-0.01819,0.131388,1.0107e-105,1501.67,49,30.6464,2.54073e-282,0.745236,1,True,1.35308,4.04256,0.396561,0.974769,DROP,ok
ftof_time_1A,3,5,15,25,4847,6564,0.847839,0.798598,5114,7182,4847,6564,0.94779,0.913952,-0.0338388,0.112406,3.95105e-31,461.979,49,9.42814,1.48937e-68,0.705784,1,True,0.428849,1.16624,0.336262,0.947355,DROP,ok
ftof_time_1A,3,5,25,35,52,117,0.847839,0.798598,59,139,52,117,0.881356,0.841727,-0.0396293,0.17735,0.184288,31.3289,27,1.16033,0.25785,0.706074,2.80172,True,0.371664,0.833728,2.45502,76923.1,DROP,ok
ftof_time_1B,1,2,5,15,9053,8951,0.906102,0.892377,9585,9952,9053,8951,0.944497,0.899417,-0.0450794,0.106966,2.77282e-45,332.378,49,6.78322,9.43245e-44,0.334558,0.888004,True,0.176566,0.219457,0.0632809,0.412681,CANDIDATE,ok
ftof_time_1B,1,2,15,25,13027,14636,0.906102,0.892377,13926,15954,13027,14636,0.935444,0.917387,-0.018057,0.101761,1.38059e-62,468.885,49,9.56909,6.66862e-70,0.341748,0.923107,True,0.164215,0.190771,0.0560506,0.46266,CANDIDATE,ok
ftof_time_1B,1,2,25,35,4352,5993,0.906102,0.892377,5336,7162,4352,5993,0.815592,0.836777,0.0211852,0.0752695,7.172e-13,117.227,49,2.39239,1.61084e-07,0.247343,0.79113,True,0.116086,0.117402,0.0349239,0.307125,CANDIDATE,ok
ftof_time_1B,2,3,5,15,10407,11818,0.906102,0.892377,10927,12503,10407,11818,0.952411,0.945213,-0.00719831,0.0402264,3.22661e-08,154.434,49,3.15172,7.58975e-13,0.181704,0.8036,False,0.023737,0.0841868,0.0310917,0.396918,CANDIDATE,ok
ftof_time_1B,2,3,15,25,9173,12671,0.906102,0.892377,9727,13713,9173,12671,0.943045,0.924014,-0.0190314,0.0499342,5.71027e-12,217.191,49,4.43247,4.82294e-23,0.208515,0.800083,False,0.0265729,0.0946767,0.0450875,0.435235,CANDIDATE,ok
ftof_time_1B,2,3,25,35,1080,1986,0.906102,0.892377,1166,2124,1080,1986,0.926244,0.935028,0.00878468,0.0281247,0.624212,43.6981,49,0.891798,0.687287,0.22365,0.616734,False,0.0158843,0.0430122,0.0329897,0.645731,CANDIDATE,ok
ftof_time_1B,3,5,5,15,15327,14575,0.906102,0.892377,15732,14867,15327,14575,0.974256,0.980359,0.00610289,0.0160618,0.0419022,54.0682,49,1.10343,0.287005,0.0810419,0.357391,False,0.00419474,0.0173213,0.00384849,0.163016,KEEP,ok
ftof_time_1B,3,5,15,25,4894,6862,0.906102,0.892377,5114,7182,4894,6862,0.956981,0.955444,-0.00153667,0.0242061,0.0688798,55.0379,49,1.12322,0.25679,0.150989,0.560112,False,0.00492849,0.0240984,0.00678703,0.184369,KEEP,ok
ftof_time_1B,3,5,25,35,57,135,0.906102,0.892377,59,139,57,135,0.966102,0.971223,0.00512133,0.0775828,0.949695,48.9169,46,1.06341,0.356762,0.530745,1.9697,True,0.018204,0.0712694,0.414185,2.8,DROP,ok
ftof_path_1A,1,2,5,15,8829,8478,0.847839,0.798598,9585,9952,8829,8478,0.921127,0.851889,-0.0692377,0.0245709,0.0105466,70.909,49,1.44712,0.0219793,0.159813,0.595969,False,0.440489,0.0536149,0.00900207,0.226807,CANDIDATE,ok
ftof_path_1A,1,2,15,25,12324,13296,0.847839,0.798598,13926,15954,12324,13296,0.884963,0.833396,-0.0515674,0.0274073,0.00013167,69.9733,49,1.42803,0.0261842,0.10443,0.354661,False,0.349645,0.0497968,0.00892762,0.19606,KEEP,ok
ftof_path_1A,1,2,25,35,3370,3936,0.847839,0.798598,5336,7162,3370,3936,0.631559,0.549567,-0.0819921,0.0728156,8.04685e-09,81.2861,49,1.6589,0.00255435,0.207389,0.527163,True,1.05518,0.113324,0.0264428,0.304966,CANDIDATE,ok
ftof_path_1A,2,3,5,15,9981,11042,0.847839,0.798598,10927,12503,9981,11042,0.913425,0.883148,-0.0302774,0.0451861,9.71803e-10,110.209,49,2.24916,1.31292e-06,0.163861,0.945466,False,0.404845,0.0665651,0.0196444,0.528097,CANDIDATE,ok
ftof_path_1A,2,3,15,25,9006,12048,0.847839,0.798598,9727,13713,9006,12048,0.925876,0.878582,-0.0472941,0.0271284,0.000995744,90.559,49,1.84814,0.00028086,0.144821,0.612148,False,0.198387,0.0369359,0.00930916,0.362753,CANDIDATE,ok
ftof_path_1A,2,3,25,35,956,1559,0.847839,0.798598,1166,2124,956,1559,0.819897,0.733992,-0.0859046,0.0379689,0.348894,44.4639,49,0.907426,0.657348,0.274615,2.08601,False,0.347153,0.0452405,0.0217165,0.352215,CANDIDATE,ok
ftof_path_1A,3,5,5,15,14542,13472,0.847839,0.798598,15732,14867,14542,13472,0.924358,0.906168,-0.01819,0.0234488,0.000899806,84.949,49,1.73365,0.00109946,0.122002,0.732205,False,0.158295,0.023661,0.00826844,0.313413,CANDIDATE,ok
ftof_path_1A,3,5,15,25,4847,6564,0.847839,0.798598,5114,7182,4847,6564,0.94779,0.913952,-0.0338388,0.0241332,0.0761154,48.6687,49,0.993239,0.486476,0.147869,0.728072,False,0.180571,0.0361936,0.0108977,0.278989,KEEP,ok
ftof_path_1A,3,5,25,35,52,117,0.847839,0.798598,59,139,52,117,0.881356,0.841727,-0.0396293,0.192308,0.122297,68.7052,48,1.43136,0.0265295,0.551119,1.68421,True,1.06646,0.141869,2.13357,76923.1,DROP,ok
